description,amount,category,date
UBER,25.50,Travel,2023-02-10
UBER TRIP,35.20,Travel,2023-02-15
UBER RIDE,22.30,Travel,2023-02-22
BRITISH GAS,89.99,Utilities,2023-02-01
BRITISH GAS - ELECT,75.50,Utilities,2023-02-28
OCTOPUS ENERGY,65.25,Utilities,2023-03-01
WATER PLUS LTD,45.00,Utilities,2023-03-10
VODAFONE BILL,35.99,Utilities,2023-03-15
PAYROLL TRANSFER,2500.00,Payroll,2023-01-25
SALARY PAYMENT,3000.00,Payroll,2023-02-25
HMRC PAYE,580.25,Payroll,2023-03-25
GOOGLE ADS,250.00,Marketing,2023-02-05
FACEBOOK ADS,180.00,Marketing,2023-02-12
LINKEDIN ADS,150.00,Marketing,2023-02-19
MAILCHIMP,29.99,Marketing,2023-02-26
AMZN UK,45.99,Office Supplies,2023-01-05
AMZN UK PRIME,7.99,Software & IT,2023-01-15
AMZN MKTPLACE,129.99,Marketing,2023-01-25
AMZN UK OFFICE,89.99,Office Supplies,2023-02-05
BRGAS HOME INSUR,12.99,Insurance,2023-02-15
BRGAS GAS BILL,89.75,Utilities,2023-01-01
GOOGLE CLOUD,150.00,Software & IT,2023-01-10
GOOGLE WORKSPACE,12.00,Software & IT,2023-01-10
FB MKTG TOOLS,125.75,Marketing,2023-01-12
FB BOOST POST,50.00,Marketing,2023-01-18
MICROSOFT 365,9.99,Software & IT,2023-01-20
MSFT AZURE,299.99,Software & IT,2023-01-25
DIGITAL OCEAN 9HG7Y5R4E,20.00,Software & IT,2023-01-05
AWS EC2 INSTANCES 8FG,125.75,Software & IT,2023-01-15
STRIPE SAAS PLATFORM,199.99,Software & IT,2023-01-25
AMZN AWS LAMBDA 7YT,45.50,Software & IT,2023-02-05
GITHUB ENTERPRISE 98767,7.00,Software & IT,2023-02-10
SLACK ENTERPRISE GRID,8.00,Software & IT,2023-02-15
ZOOM.US PRO 966,14.99,Software & IT,2023-02-20
NOTION TEAM PREMIUM,24.00,Software & IT,2023-02-25
FIGMA DESIGN PLUS,15.00,Software & IT,2023-03-01
ATLASSIAN JIRA CLOUD,10.00,Software & IT,2023-03-05
DOCKER HUB PRO,25.00,Software & IT,2023-03-10
CLOUDFLARE PRO DNS,20.00,Software & IT,2023-03-15
VERCEL TEAM PRO,20.00,Software & IT,2023-03-20
NETLIFY BUSINESS,19.00,Software & IT,2023-03-25
AMZN UK MKTP B2B OFFICE,249.99,Office Supplies,2023-01-15
UBER BUSINESS TRAVEL,175.30,Travel,2023-01-20
GOOGLE CLOUDTRAINING,450.00,Software & IT,2023-01-25
FB ENTERPRISE ADS,300.00,Marketing,2023-02-01
BRITISH GAS SMART HOME,150.00,Utilities,2023-02-05
MSFT TRAINING PLATFORM,199.99,Software & IT,2023-02-10
ADOBE CREATIVE CLOUD,52.99,Software & IT,2023-02-15
DROPBOX BUSINESS PLUS,20.00,Software & IT,2023-02-20
ASANA PREMIUM TEAM,24.99,Software & IT,2023-02-25
HUBSPOT CRM PRO,89.00,Software & IT,2023-03-01
SHELL OIL 83952749,50.00,Transportation,2023-01-10
BP CONNECT,45.75,Transportation,2023-02-10
TFL TRAVEL CHARGE,45.00,Transportation,2023-03-10
TRAINLINE TICKET,89.99,Travel,2023-01-15
BOOKING.COM HOTEL,275.50,Travel,2023-02-15
AIRBNB HMBJKLS6P,320.00,Travel,2023-03-15
COSTA COFFEE,5.75,Food & Dining,2023-01-05
PRET A MANGER,7.25,Food & Dining,2023-02-05
SAINSBURYS SACAT 3879,35.67,Food & Dining,2023-03-05
TESCO STORES 2898,54.32,Food & Dining,2023-01-10
AVIVA INSURANCE,35.75,Insurance,2023-02-10
BUPA HEALTH INS,125.00,Insurance,2023-03-10
LEGAL & GENERAL,45.00,Insurance,2023-01-20
OFFICE DEPOT,75.45,Office Supplies,2023-02-20
STAPLES UK,28.99,Office Supplies,2023-03-20
IKEA LONDON,150.00,Office Supplies,2023-01-25
PAYMENT TO VENDOR XYZ,250.00,Unclassified,2023-02-25
MISC PAYMENT 4582,125.50,Unclassified,2023-03-25 